"","species","decimalLatitude","decimalLongitude"
"1","Eurycea bislineata",40.197175,-76.361795
"2","Eurycea cirrigera",34.058919,-84.06138
"3","Eurycea cirrigera",34.05745,-84.056887
"4","Eurycea cirrigera",34.055612,-84.054094
"5","Eurycea wilderae",36.221613,-81.777176
"6","Eurycea cirrigera",36.522345,-86.238471
"7","Eurycea cirrigera",36.521843,-86.238265
"8","Eurycea cirrigera",33.902042,-83.913825
"9","Eurycea cirrigera",33.772257,-84.336865
"10","Eurycea cirrigera",33.772266,-84.336932
"11","Eurycea cirrigera",33.772255,-84.336715
"12","Eurycea cirrigera",33.772297,-84.336837
"13","Eurycea cirrigera",33.772225,-84.336831
"14","Eurycea cirrigera",33.772609,-84.337012
"15","Eurycea lucifuga",38.182836,-86.15027
"16","Eurycea bislineata",39.952372,-75.345039
"17","Eurycea cirrigera",34.046527,-83.88815
"18","Eurycea cirrigera",36.470214,-88.018898
"19","Eurycea cirrigera",33.840562,-84.271195
"20","Eurycea cirrigera",33.804619,-84.323975
"21","Eurycea bislineata",41.229972,-74.749
"22","Eurycea aquatica",33.771641,-86.472479
"23","Eurycea cirrigera",33.796733,-84.151331
"24","Eurycea cirrigera",33.773167,-84.319044
"25","Eurycea cirrigera",33.772101,-84.319313
"26","Eurycea wilderae",34.155499,-84.076988
"27",NA,34.15557,-84.076532
"28",NA,34.155578,-84.076434
"29","Eurycea lucifuga",36.553087,-87.30625
"30","Eurycea lucifuga",36.55302,-87.30611
"31","Eurycea lucifuga",36.553242,-87.306043
"32","Eurycea lucifuga",36.553233,-87.30614
"33","Eurycea wilderae",34.153055,-84.078165
"34","Eurycea wilderae",34.153247,-84.07786
"35","Eurycea cirrigera",36.285186,-87.079347
"36","Eurycea cirrigera",34.151022,-84.08006
"37","Eurycea wilderae",34.15145,-84.079866
"38","Eurycea wilderae",34.151464,-84.079616
"39","Eurycea wilderae",34.151102,-84.079317
"40","Eurycea wilderae",34.151299,-84.079247
"41","Eurycea lucifuga",36.313058,-87.144494
"42","Eurycea cirrigera",31.794572,-85.958817
"43","Eurycea cirrigera",33.223025,-87.59748
"44","Eurycea longicauda",36.0196,-94.212387
"45",NA,34.681297,-83.145845
"46","Eurycea paludicola",31.370467,-94.24015
"47","Eurycea paludicola",31.370583,-94.240455
"48","Eurycea paludicola",31.369972,-94.240683
"49","Eurycea paludicola",31.370188,-94.239792
"50","Eurycea paludicola",31.086825,-94.319642
"51","Eurycea paludicola",31.086864,-94.319755
"52","Eurycea cirrigera",36.003768,-79.763895
"53","Eurycea cirrigera",33.772379,-84.321319
"54","Eurycea quadridigitata",32.658101,-80.949617
"55","Eurycea quadridigitata",32.658101,-80.949617
"56","Eurycea guttolineata",32.627255,-86.248787
"57","Eurycea guttolineata",30.176397,-84.667137
"58","Eurycea cirrigera",34.757706,-83.609539
"59","Eurycea bislineata",40.833958,-74.728675
"60","Eurycea cirrigera",36.53687,-79.976745
"61","Eurycea cirrigera",34.09868,-84.181303
"62","Eurycea cirrigera",34.098568,-84.181827
"63","Eurycea guttolineata",30.707562,-86.235044
"64",NA,34.020723,-84.353979
"65",NA,34.020421,-84.352438
"66","Eurycea wilderae",35.282052,-82.721607
"67","Eurycea cirrigera",33.773069,-84.336688
"68",NA,34.725693,-82.756492
"69",NA,33.826047,-84.288712
"70","Eurycea cirrigera",33.937766,-84.439763
"71",NA,33.940048,-84.437109
"72","Eurycea cirrigera",33.809745,-84.30203
"73","Eurycea longicauda",37.209956,-80.435363
"74","Eurycea cirrigera",36.271679,-86.903138
"75","Eurycea bislineata",40.454091,-74.663324
"76","Eurycea multiplicata",34.518222,-93.068908
"77","Eurycea lucifuga",36.553134,-87.306235
"78","Eurycea lucifuga",36.553223,-87.306053
"79","Eurycea wilderae",35.610484,-83.74399
"80","Eurycea cirrigera",38.11785,-83.56198
"81","Eurycea cirrigera",38.11785,-83.56198
"82","Eurycea cirrigera",38.117895,-83.56192
"83","Eurycea cirrigera",37.902857,-84.36423
"84","Eurycea cirrigera",37.903172,-84.362905
"85","Eurycea cirrigera",35.915203,-79.043005
"86","Eurycea lucifuga",36.55327,-87.306208
"87","Eurycea lucifuga",36.552979,-87.306317
"88","Eurycea lucifuga",36.553064,-87.306263
"89","Eurycea lucifuga",36.55321,-87.306093
"90","Eurycea cirrigera",33.212355,-87.44792
"91","Eurycea wilderae",34.521362,-84.009492
"92","Eurycea cirrigera",35.888901,-79.040413
"93","Eurycea arenicola",35.135261,-79.426392
"94","Eurycea cirrigera",34.487826,-81.860772
"95","Eurycea cirrigera",34.001194,-84.237092
"96","Eurycea arenicola",35.135258,-79.426362
"97","Eurycea wilderae",34.929905,-83.841793
"98","Eurycea wilderae",34.929761,-83.841759
"99","Eurycea arenicola",35.135261,-79.426383
"100","Eurycea cirrigera",36.346525,-83.597604
"101","Eurycea tynerensis",36.066545,-94.153825
"102","Eurycea cirrigera",30.992047,-87.061736
"103","Eurycea cirrigera",37.28265,-80.466355
"104","Eurycea cirrigera",38.112021,-81.151176
"105","Eurycea cirrigera",36.495105,-86.282128
"106","Eurycea cirrigera",36.49453,-86.278328
"107","Eurycea cirrigera",36.494787,-86.277878
"108","Eurycea cirrigera",36.496353,-86.27697
"109","Eurycea cirrigera",36.496358,-86.276878
"110","Eurycea cirrigera",36.495347,-86.275947
"111","Eurycea cirrigera",36.495413,-86.275933
"112","Eurycea cirrigera",36.490987,-86.282683
"113","Eurycea cirrigera",31.795206,-85.958078
"114","Eurycea cirrigera",36.49033,-86.291542
"115","Eurycea cirrigera",36.490405,-86.291558
"116","Eurycea cirrigera",36.487219,-86.287667
"117","Eurycea cirrigera",36.49035,-86.291572
"118","Eurycea cirrigera",35.617855,-81.034967
"119","Eurycea tynerensis",35.994667,-94.136672
"120","Eurycea cirrigera",38.917088,-84.745912
"121","Eurycea cirrigera",36.49967,-87.269534
"122","Eurycea cirrigera",36.499118,-87.269279
"123","Eurycea cirrigera",36.496076,-87.262875
"124","Eurycea cirrigera",34.605925,-88.179213
"125","Eurycea bislineata",39.192912,-76.896599
"126","Eurycea cirrigera",34.515645,-84.058718
"127","Eurycea cirrigera",31.795425,-85.961975
"128","Eurycea lucifuga",36.103874,-86.820395
"129","Eurycea guttolineata",34.133064,-84.215526
"130","Eurycea cirrigera",36.095078,-79.878303
"131","Eurycea paludicola",31.448987,-93.092339
"132","Eurycea paludicola",31.477413,-92.992562
"133","Eurycea paludicola",31.312286,-89.313356
"134","Eurycea bislineata",39.243697,-77.43843
"135","Eurycea tynerensis",36.131753,-94.173937
"136","Eurycea cirrigera",39.26922,-84.25277
"137","Eurycea cirrigera",33.581703,-84.078842
"138","Eurycea tynerensis",35.488605,-92.107903
"139","Eurycea tynerensis",35.781221,-94.246605
"140","Eurycea tynerensis",35.781321,-94.246711
"141","Eurycea cirrigera",36.081649,-86.798924
"142","Eurycea wilderae",34.38393,-84.151415
"143","Eurycea wilderae",34.383917,-84.151352
"144","Eurycea wilderae",34.38406,-84.151527
"145","Eurycea cirrigera",34.076856,-81.739951
"146","Eurycea cirrigera",34.076967,-81.740082
"147","Eurycea cirrigera",34.077034,-81.740027
"148","Eurycea cirrigera",34.076695,-81.74019
"149","Eurycea cirrigera",34.076889,-81.740146
"150","Eurycea cirrigera",34.076968,-81.740112
"151","Eurycea cirrigera",39.115436,-84.363342
"152","Eurycea cirrigera",33.900611,-83.375133
"153","Eurycea cirrigera",33.909051,-83.364287
"154","Eurycea cirrigera",33.900457,-83.374241
"155","Eurycea tynerensis",36.1038,-93.983303
"156","Eurycea tynerensis",36.1038,-93.983303
"157","Eurycea cirrigera",36.289779,-87.088769
"158","Eurycea cirrigera",36.273736,-86.902722
"159","Eurycea tynerensis",35.873633,-93.043708
"160","Eurycea multiplicata",34.428933,-92.842383
"161","Eurycea cirrigera",35.731147,-79.104156
"162","Eurycea cirrigera",35.730724,-79.103945
"163","Eurycea cirrigera",36.289587,-87.088982
"164","Eurycea cirrigera",36.292845,-87.09716
"165","Eurycea cirrigera",36.498175,-87.263081
"166","Eurycea cirrigera",36.496107,-87.262842
"167","Eurycea lucifuga",36.499681,-87.270017
"168","Eurycea wilderae",34.384482,-84.152009
"169","Eurycea bislineata",40.538609,-80.10923
"170","Eurycea bislineata",40.538609,-80.10923
"171","Eurycea lucifuga",34.760925,-86.535897
"172","Eurycea quadridigitata",31.489142,-83.534064
"173","Eurycea wilderae",34.759232,-82.859711
"174","Eurycea bislineata",39.648584,-78.937329
"175","Eurycea cirrigera",31.80672,-85.953338
"176","Eurycea aquatica",35.94762,-83.96582
"177","Eurycea cirrigera",33.807222,-84.301886
"178","Eurycea cirrigera",35.079197,-84.66365
"179","Eurycea bislineata",42.569108,-72.426392
"180","Eurycea bislineata",40.505433,-80.043757
"181","Eurycea cirrigera",33.121451,-83.268527
"182","Eurycea cirrigera",33.120899,-83.269285
"183","Eurycea cirrigera",33.263179,-87.489015
"184","Eurycea cirrigera",39.138295,-86.207183
"185","Eurycea cirrigera",39.138806,-86.206833
"186","Eurycea paludicola",31.181363,-92.5649
"187","Eurycea quadridigitata",31.983813,-81.786745
"188","Eurycea cirrigera",35.706005,-78.278092
"189","Eurycea cirrigera",35.518039,-85.674256
"190",NA,34.995012,-84.641139
"191","Eurycea cirrigera",35.06336,-87.637697
"192","Eurycea cirrigera",34.525397,-89.494687
"193","Eurycea lucifuga",34.760647,-86.536263
"194","Eurycea bislineata",39.038325,-77.309463
"195","Eurycea cirrigera",35.874535,-79.182515
"196","Eurycea tynerensis",35.994507,-94.131388
"197","Eurycea cirrigera",37.238806,-80.476
"198","Eurycea wilderae",35.134022,-82.493592
"199","Eurycea lucifuga",34.734253,-86.517998
"200","Eurycea cirrigera",33.27538,-84.160889
"201","Eurycea lucifuga",34.734253,-86.517998
"202","Eurycea bislineata",40.159647,-80.616502
"203","Eurycea bislineata",40.157894,-80.618877
"204","Eurycea cirrigera",34.938737,-80.70192
"205","Eurycea quadridigitata",33.393522,-81.904971
"206","Eurycea longicauda",38.034884,-78.856643
"207","Eurycea tynerensis",35.485655,-92.968995
"208","Eurycea cirrigera",38.302567,-86.44085
"209","Eurycea cirrigera",38.036892,-78.509095
"210","Eurycea cirrigera",38.035892,-78.509513
"211","Eurycea cirrigera",31.787178,-85.891116
"212","Eurycea cirrigera",38.368851,-81.813141
"213","Eurycea cirrigera",33.902239,-83.849994
"214","Eurycea cirrigera",39.481342,-84.07003
"215","Eurycea cirrigera",33.772392,-84.321067
"216","Eurycea cirrigera",34.619428,-87.795762
"217","Eurycea cirrigera",37.899882,-84.363818
"218","Eurycea cirrigera",33.89993,-83.862703
"219",NA,33.899961,-83.862698
"220","Eurycea guttolineata",33.342725,-86.740349
"221","Eurycea cirrigera",39.404193,-82.598065
"222",NA,34.014594,-87.369087
"223","Eurycea lucifuga",35.24678,-87.35115
"224","Eurycea multiplicata",34.562426,-92.54892
"225","Eurycea cirrigera",34.077194,-81.739885
"226","Eurycea cirrigera",33.751758,-84.632785
"227","Eurycea cirrigera",33.423423,-81.869203
"228",NA,33.750493,-84.624589
"229","Eurycea cirrigera",33.812265,-84.46264
"230","Eurycea guttolineata",31.907472,-87.433363
"231","Eurycea cirrigera",33.863497,-84.22847
"232","Eurycea cirrigera",33.863567,-84.228653
"233","Eurycea cirrigera",33.863567,-84.228653
"234","Eurycea cirrigera",33.863572,-84.228455
"235","Eurycea cirrigera",33.863587,-84.2285
"236","Eurycea cirrigera",33.863537,-84.228508
"237","Eurycea cirrigera",33.86353,-84.228513
"238","Eurycea cirrigera",33.863705,-84.2285
"239","Eurycea cirrigera",33.863695,-84.228487
"240","Eurycea cirrigera",33.863712,-84.228522
"241","Eurycea cirrigera",33.863722,-84.228462
"242","Eurycea cirrigera",33.863672,-84.2285
"243","Eurycea cirrigera",33.863647,-84.228613
"244","Eurycea tynerensis",35.696925,-94.845572
"245","Eurycea cirrigera",33.863342,-84.375938
"246","Eurycea wilderae",35.759632,-83.105339
"247",NA,37.73848,-83.960005
"248","Eurycea cirrigera",33.807225,-84.281478
"249","Eurycea paludicola",31.901932,-92.775632
"250","Eurycea bislineata",41.1921,-74.848337
"251",NA,34.764789,-86.536724
"252",NA,34.764789,-86.536724
"253",NA,34.764789,-86.536724
"254","Eurycea cirrigera",36.193647,-86.679604
"255","Eurycea cirrigera",36.193647,-86.679604
"256","Eurycea wilderae",34.161281,-84.734213
"257","Eurycea cirrigera",31.802047,-85.959808
"258","Eurycea wilderae",34.709647,-83.789289
"259","Eurycea bislineata",41.195925,-74.630229
"260",NA,34.352717,-84.141084
